"paper_table_order","paper_common_name","species","route","source_id","region","specificity","rung","dep_class","t_pathway","t_config","h_usemode","h_lifestage","h_config","review_flag","evidence","note","coder_id"
1,"Baardman","Umbrina robinsoni","H","Hutchings and Griffiths (2010) - Life history strategies of Umbrina robinsoni.pdf","Both","Medium",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","yes","This is a life-history study (age, growth, reproduction, mortality); it makes no observation of kelp anywhere. Its primary sampling documents U. robinsoni occupying non-kelp habitats: broken limestone reef, mixed rock and sand, and surf zone at De Hoop (warm-temperate) and offshore limestone/coral r",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Jairam (2005) - COMMERCIAL AND RECREATIONAL MARINE SKIBOAT LINEFISHERIES IN RICHARDS BAY.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","A single Umbrina robinsoni (baardman) recorded in the Richards Bay commercial catch, beyond the eastern kelp limit. Documents occurrence in a non-kelp east-coast setting (level-0 observed_alternative, habitat route). Identity distinct from the recreational U. canariensis. No kelp assessed; trophic r",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Lasiak (1984).pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","yes","'Umbrina capensis' (baardman) is a frequent resident of the King's Beach sandy surf-zone (East). Mapped to Umbrina robinsoni (frame common name 'Bardman'), but the historical name's allocation between U. robinsoni and U. canariensis is uncertain, hence review. Non-kelp habitat occupancy = level-0 ob",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Maggs et al (2013)-Contribution of a large no take zone to the management of vulnerable reef fishes in the south western indian ocean.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Umbrina robinsoni (baardman/bardman) was caught in the Pondoland MPA survey on East-Coast reef at 10–30 m (1 individual, Table A1), east of the kelp limit. Level-0 observed_alternative on the habitat route; trophic route unassessed. Region East.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Mann and Pradervand (2007) - Declining catch per unit effort of an estuarine-dependent fish, Rhabdosargus sarba (Teleostei, Sparidae), in the marine environment following closure of the St Lucia Estuarine System, South Africa.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Caught in the northern KZN marine surf/reef zone (Table 1); documented occurrence in a non-kelp habitat outside the kelp range. Level-0 observed_alternative on the habitat route. No trophic data.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Mann et al. (2006) - Towards the declaration of a large marine protected area, a subtidal ichthyofaunal survey of the Pondoland coast in the Eastern Cape, South Africa.pdf","East","High",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Counted in the Pondoland UVC (Table 1: N=35, density 2.43 per 1 000 m2) on non-kelp reefs, Eastern Cape. Level-0 observed_alternative on the habitat route.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Mann et al. (2015) - Movement patterns of surf-zone fish species in a subtropical MPA on the east coast of South Africa.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","East-coast subtropical MPA beyond the kelp limit; no kelp present. U. robinsoni was caught (22) in the surf zone (sand and scattered low-relief beach-rock reef), documenting occupancy of a non-kelp habitat. Level-0 observed_alternative on the habitat route; no availability, kelp or diet data.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Mann et al. (2016) - Monitoring the recovery of a previously exploited surf-zone fish community in the St Lucia Marine Reserve, South Africa.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Umbrina robinsoni was captured (n=18) in the St Lucia surf zone on the KwaZulu-Natal east coast, documenting occupancy of a non-kelp surf-zone habitat. Level-0 observed_alternative on the habitat route; region East, no kelp present. No diet or kelp comparison.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Mann et al. (2022) - Monitoring the effects of spatial protection on the reef fish communities of the Pondoland Marine Protected Area, Eastern Cape Province, South Africa.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","In-scope baardman (Umbrina robinsoni) recorded on Pondoland reef (10–30 m, Eastern Cape east coast), east of the kelp range. Occupies non-kelp reef habitat; kelp neither measured nor mentioned. Level-0 observed_alternative on the habitat route; trophic route unassessed.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Osgood et al. (2020) - Chondrichthyans as an umbrella species-complex for conserving South African biodiversity.pdf","West","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Slender baardman is observed on BRUV in the kelp region at non-kelp sites (central RDA position). Level-0 observed_alternative on the habitat route. Trophic route unassessed.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Pradervand and Hiseman (2006) - An analysis of the recreational shore fishery in the Goukamma Marine Protected Area.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Table 1 records 70 baardman (Umbrina robinsoni) in the Goukamma MPA shore fishery, east of the eastern kelp limit, in non-kelp coastal habitat. Occurrence only, no diet or kelp-structure use, no measured availability. Level-0 observed-alternative habitat record. Trophic route unassessed.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Venter and Mann (2012) - Preliminary assessment of surf-zone and estuarine line-fish species of the Dwesa-Cwebe Marine Protected Area.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Recorded in the East-region non-kelp surf-zone (2 individuals, 0.19%). Kelp neither measured nor mentioned. Level-0 observed_alternative on the habitat route. No diet data, trophic route unassessed.",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","H","Whitfield et al. (2023) - Fishes of the Knysna Estuary.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","adult","not_applicable","no","Baardman is documented entering the Knysna Estuary as a thermal refuge during upwelling events, a non-kelp habitat, giving a level-0 observed_alternative habitat record (transient occurrence).",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","T","Day (1970) - The biology of False Bay, South Africa.pdf","West","Low",0,,"non_kelp","not_applicable","not_applicable","unspecified","not_applicable","yes","The baardman feeds with kob and steenbras on the sandy-shore invertebrates Callianassa, Arenicola and Donax and on surf mullets, a non-kelp diet (level 0 observed alternative). Flagged for review because the species identity rests on matching the vernacular 'baardman' and the historical binomial 'Sc",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","T","Hutchings (2005) - Taxonomy, biology, and management of the genus Umbrina.pdf","East","Low",0,,"non_kelp","not_applicable","not_applicable","adult","not_applicable","no","The only diet statement for U. robinsoni is that the majority of its prey in the region are filter-feeding bivalves and polychaetes (Chapter 4, p.140, PDF 152), i.e. non-kelp benthic invertebrates in the De Hoop (East) area. This supports a level-0 observed_alternative on the trophic route (non-kelp",,"agent:opus:rfbf-v7.1"
1,"Baardman","Umbrina robinsoni","T","Hutchings and Griffiths (2010) - Life history strategies of Umbrina robinsoni.pdf","Both","Low",0,,"non_kelp","not_applicable","not_applicable","unspecified","not_applicable","yes","The source reports no primary trophic measurement (no stomach-content analysis); its methods concern otoliths, gonads, growth and mortality. The only diet information is a discussion statement that the major prey are filter-feeding bivalves and polychaetes, attributed to the authors' unpublished dat",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Attwood et al. (2013) - the Proceedings of the 4th Linefish symposium.pdf","Both","Low",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","Poenskop is a coastal rocky-reef species with rocky intertidal nursery habitat spanning West and East; kelp is never mentioned, a level-0 habitat observed alternative (non-kelp reef).",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Attwood et al. (2016) - Seasonally and spatially referenced estimates of recreational shore-angling effort, catch composition, catch rates and total catch in the Goukamma Marine Protected Area, South Africa.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Poenskop/black musselcracker (1 fish, at Buffalo Bay) caught in the non-kelp Goukamma MPA. Presence-only observation of an in-scope species in non-kelp reef/shore habitat, level-0 observed_alternative on the habitat route.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Beckley and Buxton (1989) - UNDERWATER OBSERVATIONS OF REEF FISH IN AND AROUND ALGOA BAY, SOUTH AFRICA.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","Poenskop observed infrequently and in low numbers, adults and juveniles, on Algoa Bay non-kelp rocky reef East of the kelp range. Level-0 observed_alternative on the habitat route.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Bennett & Attwood (1993)-Shore-angling catches in the De Hoop Nature Reserve  South Africa  and further evidence for the protective value of marine reserves.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Cymatoceps nasutus (n=1) was caught by shore-angling at De Hoop in a non-kelp aeolianite beach-rock and sand surf zone at the eastern edge of the Ecklonia maxima range. Documented occurrence in non-kelp habitat with no diet or kelp-structure observation gives a level-0 observed_alternative on the ha",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Brouwer and Buxton (2002) - Catch and effort of the shore and skiboat linefisheries along the South African Eastern Cape coast.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Poenskop recorded in the Eastern Cape shore and commercial skiboat catches, east of the kelp limit: level-0 observed_alternative, habitat route.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Bullock et al. (2021) - A decade of surf-zone linefish monitoring in the Dwesa-Cwebe Marine Protected Area.pdf","East","High",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Black musselcracker (poenskop) was one of the most frequently caught species (n=356) over rocky-reef habitat in the Dwesa-Cwebe MPA on the Eastern Cape east coast, beyond the eastern kelp limit; the authors attribute its distribution to habitat, not kelp. Observed occupying non-kelp East-coast reef ",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Burger (1990) - The distribution patterns and community structure of the Tsitsikamma rocky littoral ichthyofauna.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","East-region record beyond the kelp coast. Cymatoceps nasutus was recorded on non-kelp shallow coralline reef at Tsitsikamma, where no kelp forest occurs. Documented occurrence in a non-kelp habitat: level-0 observed_alternative on the habitat route.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Buxton and Clarke (1989) - The growth of Cymatoceps nasutus with comments on diet and reproduction.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","The source's own habitat evidence is the diving observation on p.62 (E10): 'Although diving was restricted to depths shallower than 50 m, juveniles (Fig. 5) were only seen over reefs in shallow water (< 10 m), indicating that shallow subtidal reefs act as nurseries.' This documents in-scope juvenile",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Clarke (1988) - Biological aspects of Sparodon durbanensis and Pachymetopon grande.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Cymatoceps nasutus (poenskop, n=10) is landed in the study's Port Elizabeth inshore rock-angling catch survey, an Eastern Cape rocky-reef fishery east of the kelp limit. Documented occurrence in non-kelp habitat; kelp never mentioned. Level-0 observed_alternative on the habitat route.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Coetzee and Baird (1981) - Catch composition and catch per unit effort of anglers' catches off St Croix Island.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Poenskop, in the St Croix Island angler catch at a non-kelp East-region rocky reef → level-0 observed_alternative on the habitat route.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","De Vos et al. (2014) - Optimal BRUVs survey design for reef fish monitoring in the Stilbaai Marine Protected Area.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Recorded at 4 of 29 BRUVs sites on non-kelp sandstone reef at Stilbaai, east of the kelp limit (listed as black musselcracker, i.e. poenskop). No kelp present or measured; a level-0 observed_alternative on the habitat route. Feeding guild is secondary; trophic route unassessed.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Dicken et al. (2012) - Long-term catch and effort trends in Eastern Cape Angling Week competitions.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","Eastern Cape shore fishery east of the kelp limit; Table 1 records Cymatoceps nasutus caught in non-kelp habitat (78 fish, mostly immature). Level-0 observed_alternative on the habitat route. Trophic route unassessed (no diet data).",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Dunlop & Mann (2013)-An assessment of participation catch and effort in the offshore boat based line fishery in KZN.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","East-region KZN catch survey; no kelp. Poenskop/black musselcracker (reef sparid) retained across sectors and highlighted as an important recreational catch component by weight, documenting occupation of non-kelp KZN reef habitat. Level-0 observed_alternative, habitat route.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Dunlop and Mann (2012) - An assessment of participation, catch and effort in the KwaZulu-Natal shore-based marine linefishery, with comments on management effectiveness.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Cymatoceps nasutus (poenskop) was recorded (1 caught) in the KZN (East) non-kelp shore fishery. A single documented capture records occurrence of an in-scope species in non-kelp east-coast habitat = level-0 observed_alternative (habitat route). No diet or kelp data.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Fennessy et al. (2003) - An assessment of the recreational and commercial skiboat fishery in the Transkei.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Poenskop was retained in the Transkei reef fishery in both regions, east of the kelp limit; no kelp mentioned. Documented non-kelp reef occurrence. Level-0 observed_alternative, habitat route; trophic route unassessed (diet appears only via a Buxton & Clarke 1989 citation lead).",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Gonzalez (2024) - Baited remote underwater video surveys report, Stilbaai Marine Protected Area (2013-2016).pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Cymatoceps nasutus was recorded by baited remote underwater video in the Stilbaai MPA (Table 3; present in 2013, 2015 per Table 4). Stilbaai lies on the warm-temperate south coast east of Cape Agulhas/De Hoop, beyond the eastern range limit of Ecklonia maxima, and the report explicitly states that t",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Götz et al. (2008) - Selected fishery and population parameters of eight shore-angling species in the Tsitsikamma National Park no-take marine reserve.pdf","East","High",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Black musselcracker (=Poenskop) caught in the TNP shore-angling survey (Table 1, n=461) at a non-kelp rocky-reef site on the Eastern Cape coast. Occurrence documented; no diet data and no kelp structural action. Level-0 observed_alternative on the habitat route. Trophic route unassessed.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Gotz et al. (2009) - Effects of fishing on a temperate reef community in South Africa 1, ichthyofauna.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Black musselcracker (poenskop) was recorded by angling and UVC at Goukamma rocky-reef sites in the East region, occupying non-kelp rocky reef without kelp measured or mentioned: Level 0 observed alternative on the habitat route.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Götz et al. (2009) - fishing on a temperate reef community in South Africa 1- ichthyofauna.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Cymatoceps nasutus (poenskop / black musselcracker) was recorded on warm-temperate rocky reef at the Goukamma MPA study area (south-east coast, near Knysna), which lies east of the Cape Agulhas kelp limit and outside the Ecklonia maxima range. The survey (standardised angling and/or UVC over rocky s",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Götz et al. (2014) - An exploratory investigation of the fish communities associated with reefs on the central Agulhas Bank, South Africa.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Caught (n=1) over the non-kelp offshore Agulhas Bank (East, beyond the eastern kelp limit; Table 2). Level-0 observed_alternative on the habitat route. Kelp not present/measured; baited-gear capture is not diet evidence, so no trophic record.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Griffiths (2000) - Long-term trends in catch and effort of commercial linefish off South Africa's Cape Province.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Fishery-independent survey documents poenskop (Cymatoceps nasutus) on Southern Cape reef complexes (eastern kelp limit), in low numbers. Non-kelp reef habitat occurrence; kelp not measured or mentioned. Level-0 observed_alternative, habitat route, region East, Low specificity (very few individuals).",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Hanekom et al. (1997) - Shore-angling catches in the Tsitsikamma National Park, 1989-1995.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Poenskop recorded in scientific fishing on the TNP non-kelp coast east of the kelp limit: level 0 observed_alternative, habitat route. Trophic route unassessed.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Hecht and Tilney (1989) - The Port Alfred fishery.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Poenskop is documented as a caught reef sparid of the east-coast Port Alfred fishery, historically a principal species; observed in a non-kelp reef habitat with no kelp link, giving a level-0 observed_alternative habitat record.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Heyns-Veale et al. (2019) - Community-wide effects of protection reveal insights into marine protected area effectiveness for reef fish.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Poenskop recorded on non-kelp reef via stereo-BRUVs at Pondoland (subtropical, far east of the kelp limit); kelp not measured or mentioned. Level-0 observed_alternative on the habitat route. Trophic route unassessed. Region 'East'.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Jairam (2005) - COMMERCIAL AND RECREATIONAL MARINE SKIBOAT LINEFISHERIES IN RICHARDS BAY.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Reef sparid (poenskop) caught on Richards Bay offshore reefs (11 commercial, 2 recreational), beyond the eastern kelp limit. Documents occupancy of non-kelp reef habitat (level-0 observed_alternative, habitat route). No kelp assessed; trophic route unassessed.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","James et al (2012)-Temporal variability of temperate fish assemblahe in Africas oldest MPA.pdf","East","High",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Abundant, consistently caught (with a significant increasing trend) by shore-angling on the non-kelp East-region reef of TNP; occupancy of non-kelp habitat only, with no kelp measured. Level-0 observed_alternative on the habitat route; trophic route unassessed.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Lamberth et al. (2009) - The effects of altered freshwater inflows on catch rates of non-estuarine-dependent fish in a multispecies nearshore linefishery.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","adult","not_applicable","no","Poenskop is an in-scope reef sparid documented by this east-coast (KZN / Thukela Banks) catch study occupying a non-kelp continental-shelf reef habitat: the authors record it as a resident reef species with the strongest catch-flow relationship and 36% of its KZN catch taken on the Thukela Banks, pl",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Lloyd et al. (2011) - Ocean warming alters species abundance patterns and increases species diversity in an African sub-tropical reef-fish community.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Cymatoceps nasutus (poenskop) is recorded in the KwaZulu-Natal offshore-reef spear-fishing catch (28.0–31.6°S; East region), with 21 individuals shot 1989–2007 (Appendix A). Documents a reef sparid occupying non-kelp subtropical reef habitat; kelp is not measured or mentioned. Level-0 observed-alter",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Maggs et al (2013)-Contribution of a large no take zone to the management of vulnerable reef fishes in the south western indian ocean.pdf","East","High",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","Cymatoceps nasutus (poenskop), a study species, was caught abundantly on East-Coast Pondoland rocky reef at 10–30 m (250 individuals; Table A1), well east of the kelp limit, with quantified CPUE and length (Tables 1–2); both juveniles and adults occur there. This documents occupancy of a non-kelp re",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Mann et al. (2003) - Evaluation of participation in and management of the Transkei shore linefishery.pdf","East","Low",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","Poenskop / black musselcracker (Cymatoceps nasutus) caught along the non-kelp Transkei (East) shore-fishery (Table IV, n=4). Level-0 observed-alternative habitat record; no kelp-structural or diet observation.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Mann et al. (2006) - Towards the declaration of a large marine protected area, a subtidal ichthyofaunal survey of the Pondoland coast in the Eastern Cape, South Africa.pdf","East","High",0,,"not_applicable","not_applicable","non-kelp","both","not_applicable","no","Counted in the Pondoland UVC (Table 1: N=92, density 5.79 per 1 000 m2) on non-kelp reefs, Eastern Cape, with large numbers of juveniles and sub-adults (Figure 3, discussion). Level-0 observed_alternative on the habitat route; no trophic observation.",,"agent:opus:rfbf-v7.1"
2,"Black musselcracker","Cymatoceps nasutus","H","Mann et al. (2022) - Monitoring the effects of spatial protection on the reef fish communities of the Pondoland Marine Protected Area, Eastern Cape Province, South Africa.pdf","East","Medium",0,,"not_applicable","not_applicable","non-kelp","unspecified","not_applicable","no","In-scope black musselcracker/poenskop (Cymatoceps nasutus), an a priori focal reef species, recorded on Pondoland reef (10–30 m, Eastern Cape east coast), east of the kelp range. Occupies non-kelp reef habitat; kelp neither measured nor mentioned. Level-0 observed_alternative on the habitat route; t",,"agent:opus:rfbf-v7.1"
