"paper_table_order","paper_common_name","frame_id","record_id","source_id","species","route","region","rung","level_source","specificity","life_stage","unit_of_inference","t_pathway","t_config","h_usemode","h_config","spatial_scale","temporal_scale","review_required","reasoning"
1,"Baardman","S0148","R01","Hutchings and Griffiths (2010) - Assessment of Umbrina robinsoni.pdf","Umbrina robinsoni","H","West",0,"ai","Medium","both","site","not_applicable","not_applicable","non-kelp","not_applicable","False Bay (Cape Peninsula, on the Ecklonia maxima coast); species range Cape Point to Oman, inshore <45 m","Biological sampling 1991-1993 and 2001-2003","no","The paper is a per-recruit fisheries stock assessment of Umbrina robinsoni at False Bay, Stil Bay and the KwaZulu-Natal coast; it addresses fishing and natural mortality, growth, size and bag limits, and spawner-biomass reference points. A full-text search returns no mention of kelp, Ecklonia, seaweed, macroalgae, prey or diet items. Its only evidence-ladder-relevant content is habitat context. The study's own primary data for False Bay (a site on the western kelp coast, within the Ecklonia maxima range) are commercial beach-seine catches (E02), i.e. the species is documented occupying a sandy-beach/surf-zone habitat; the introduction likewise characterises it as a surf-zone sandy-beach feeder (E03). This is a documented observation of an in-scope species occupying a non-kelp habitat at the sampled place, time and (mixed juvenile-to-adult) life stage, with kelp neither measured nor mentioned, which is a level-0 observed_alternative on the habitat route (per the protocol's rule that a catch study with habitat context recording the species on sand/reef is a level-0 observed_alternative). Region is coded West, keyed to the False Bay observation on the kelp coast; the eastern observations (subtidal, moderate-profile, patch-reef habitat throughout the subtropical KZN region, p.521) are likewise non-kelp but lie beyond the kelp limit and add nothing to the kelp assessment, so a single West record is retained rather than a near-duplicate East record. No trophic record is coded: the source identifies no prey and reports no diet observation, so the trophic route is unassessed silence, not level 0. No kelp co-occurrence, use, selection, contribution or dependence is tested, so all higher gates are not_assessed/not_tested. Distribution and movement statements attributed to Hutchings and Griffiths (2005) and Hutchings (2005) are recorded as citation leads."
1,"Baardman","S0149","R01","Hutchings and Griffiths (2010) - Life history strategies of Umbrina robinsoni.pdf","Umbrina robinsoni","H","Both",0,"human_confirmed","Medium","both","observation","not_applicable","not_applicable","non-kelp","not_applicable","Two MPAs: De Hoop (warm-temperate south coast, ~4 km sampled shoreline of broken limestone reef, sandy pocket beaches and surf zone) and Kosi Bay/Maputaland (subtropical, ~24 km of sandy beach with rocky headlands and offshore high-profile limestone reef, 2-45 m depth).","July 2001-August 2002; monthly trips at De Hoop, three trips (May, September, January) at Kosi Bay.","yes","This is a life-history study (age, growth, reproduction, mortality); it makes no observation of kelp anywhere. Its primary sampling documents U. robinsoni occupying non-kelp habitats: broken limestone reef, mixed rock and sand, and surf zone at De Hoop (warm-temperate) and offshore limestone/coral reef at Kosi Bay (subtropical). Under the protocol, a catch/collection study that records an in-scope species on reef, sand or surf-zone habitat is an observed_alternative coded at level 0 even when kelp is neither measured nor mentioned. No structural kelp action is documented, so the habitat route does not reach Use. Region is coded Both because De Hoop sits at the warm-temperate eastern edge of the Ecklonia maxima kelp coast while Kosi Bay is clearly East; this boundary status is flagged for review."
1,"Baardman","S0152","R14","Jairam (2005) - COMMERCIAL AND RECREATIONAL MARINE SKIBOAT LINEFISHERIES IN RICHARDS BAY.pdf","Umbrina robinsoni","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Richards Bay offshore reefs, ~5-30 nautical miles, KZN north-east coast","June 2002 - July 2004","no","A single Umbrina robinsoni (baardman) recorded in the Richards Bay commercial catch, beyond the eastern kelp limit. Documents occurrence in a non-kelp east-coast setting (level-0 observed_alternative, habitat route). Identity distinct from the recreational U. canariensis. No kelp assessed; trophic route unassessed."
1,"Baardman","S0373","R08","Lasiak (1984).pdf","Umbrina robinsoni","H","East",0,"human_confirmed","Medium","unspecified","site","not_applicable","not_applicable","non-kelp","not_applicable","Single sandy surf-zone beach (King's Beach, ~1.5 km), Algoa Bay, SE coast","Coarse net Sept 1978–Oct 1980 (26 mo); fine net Oct 1979–Oct 1980 (13 mo)","yes","'Umbrina capensis' (baardman) is a frequent resident of the King's Beach sandy surf-zone (East). Mapped to Umbrina robinsoni (frame common name 'Bardman'), but the historical name's allocation between U. robinsoni and U. canariensis is uncertain, hence review. Non-kelp habitat occupancy = level-0 observed_alternative."
1,"Baardman","S0304","R09","Maggs et al (2013)-Contribution of a large no take zone to the management of vulnerable reef fishes in the south western indian ocean.pdf","Umbrina robinsoni","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Four 2 km² reef sites within the Pondoland MPA no-take and exploited zones, East Coast of South Africa; depth 10–30 m.","Seasonal controlled fishing survey, April 2006–June 2011.","no","Umbrina robinsoni (baardman/bardman) was caught in the Pondoland MPA survey on East-Coast reef at 10–30 m (1 individual, Table A1), east of the kelp limit. Level-0 observed_alternative on the habitat route; trophic route unassessed. Region East."
1,"Baardman","S0676","R15","Mann and Pradervand (2007) - Declining catch per unit effort of an estuarine-dependent fish, Rhabdosargus sarba (Teleostei, Sparidae), in the marine environment following closure of the St Lucia Estuarine System, South Africa.pdf","Umbrina robinsoni","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","St Lucia Marine Reserve, northern KwaZulu-Natal, north of Cape Vidal (~28 deg S).","Shore fish monitoring Nov 2001-Nov 2005.","no","Caught in the northern KZN marine surf/reef zone (Table 1); documented occurrence in a non-kelp habitat outside the kelp range. Level-0 observed_alternative on the habitat route. No trophic data."
1,"Baardman","S0344","R27","Mann et al. (2006) - Towards the declaration of a large marine protected area, a subtidal ichthyofaunal survey of the Pondoland coast in the Eastern Cape, South Africa.pdf","Umbrina robinsoni","H","East",0,"ai","High","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Shallow rocky/sandstone reefs (3-31 m), Pondoland coast, Eastern Cape","May-June 2002 and 2003","no","Counted in the Pondoland UVC (Table 1: N=35, density 2.43 per 1 000 m2) on non-kelp reefs, Eastern Cape. Level-0 observed_alternative on the habitat route."
1,"Baardman","S0696","R10","Mann et al. (2015) - Movement patterns of surf-zone fish species in a subtropical MPA on the east coast of South Africa.pdf","Umbrina robinsoni","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","St Lucia Marine Reserve, ~80 km of northern KwaZulu-Natal coast; surf zone (sand and scattered low-relief beach-rock reef)","November 2001 to November 2013 (hook-and-line catch/tag programme)","no","East-coast subtropical MPA beyond the kelp limit; no kelp present. U. robinsoni was caught (22) in the surf zone (sand and scattered low-relief beach-rock reef), documenting occupancy of a non-kelp habitat. Level-0 observed_alternative on the habitat route; no availability, kelp or diet data."
1,"Baardman","S0695","R07","Mann et al. (2016) - Monitoring the recovery of a previously exploited surf-zone fish community in the St Lucia Marine Reserve, South Africa.pdf","Umbrina robinsoni","H","East",0,"ai","Medium","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Surf zone, St Lucia Marine Reserve, KwaZulu-Natal east coast (four 2-km blocks, ~28 S)","November 2001-July 2011 (10 years)","no","Umbrina robinsoni was captured (n=18) in the St Lucia surf zone on the KwaZulu-Natal east coast, documenting occupancy of a non-kelp surf-zone habitat. Level-0 observed_alternative on the habitat route; region East, no kelp present. No diet or kelp comparison."
1,"Baardman","S0442","R13","Mann et al. (2022) - Monitoring the effects of spatial protection on the reef fish communities of the Pondoland Marine Protected Area, Eastern Cape Province, South Africa.pdf","Umbrina robinsoni","H","East",0,"ai","Medium","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Four 2-km² scattered-reef blocks (Mtentu, Mkambati, Mnyameni, Mzamba), Pondoland MPA, 10–30 m depth, Eastern Cape east coast","mono-BRUVS Oct 2013–Feb 2016; research linefishing Apr 2006–Feb 2016","no","In-scope baardman (Umbrina robinsoni) recorded on Pondoland reef (10–30 m, Eastern Cape east coast), east of the kelp range. Occupies non-kelp reef habitat; kelp neither measured nor mentioned. Level-0 observed_alternative on the habitat route; trophic route unassessed."
1,"Baardman","S0675","R13","Osgood et al. (2020) - Chondrichthyans as an umbrella species-complex for conserving South African biodiversity.pdf","Umbrina robinsoni","H","West",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Betty's Bay MPA / Walker Bay Whale Sanctuary and adjacent unprotected areas, Western Cape, South Africa; 167 sites / 419 BRUV deployments; habitat sand, rocky reef or kelp.","July 2016 to July 2018, multiple seasons and years.","no","Slender baardman is observed on BRUV in the kelp region at non-kelp sites (central RDA position). Level-0 observed_alternative on the habitat route. Trophic route unassessed."
1,"Baardman","S0342","R11","Pradervand and Hiseman (2006) - An analysis of the recreational shore fishery in the Goukamma Marine Protected Area.pdf","Umbrina robinsoni","H","East",0,"ai","Medium","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Goukamma MPA (~14 km of coast), Garden Route, warm-temperate south coast, Western Cape","October 1993 - December 2002 (10 years)","no","Table 1 records 70 baardman (Umbrina robinsoni) in the Goukamma MPA shore fishery, east of the eastern kelp limit, in non-kelp coastal habitat. Occurrence only, no diet or kelp-structure use, no measured availability. Level-0 observed-alternative habitat record. Trophic route unassessed."
1,"Baardman","S0731","R20","Venter and Mann (2012) - Preliminary assessment of surf-zone and estuarine line-fish species of the Dwesa-Cwebe Marine Protected Area.pdf","Umbrina robinsoni","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Dwesa-Cwebe MPA, Wild Coast: two 3.6 km surf-zone sample sites (Dwesa, Cwebe)","2009-2010; seven four-day shore-angling trips","no","Recorded in the East-region non-kelp surf-zone (2 individuals, 0.19%). Kelp neither measured nor mentioned. Level-0 observed_alternative on the habitat route. No diet data, trophic route unassessed."
1,"Baardman","S0351","R21","Whitfield et al. (2023) - Fishes of the Knysna Estuary.pdf","Umbrina robinsoni","H","East",0,"ai","Low","adult","observation","not_applicable","not_applicable","non-kelp","not_applicable","Knysna Estuary, southern Cape (east of the eastern kelp limit)","Multi-year synthesis (event-driven records during upwelling)","no","Baardman is documented entering the Knysna Estuary as a thermal refuge during upwelling events, a non-kelp habitat, giving a level-0 observed_alternative habitat record (transient occurrence)."
1,"Baardman","S0647","R07","Day (1970) - The biology of False Bay, South Africa.pdf","Umbrina robinsoni","T","West",0,"human_confirmed","Low","unspecified","observation","non_kelp","not_applicable","not_applicable","not_applicable","Shallow sandy shores, Muizenberg to Strandfontein, False Bay","Summer","yes","The baardman feeds with kob and steenbras on the sandy-shore invertebrates Callianassa, Arenicola and Donax and on surf mullets, a non-kelp diet (level 0 observed alternative). Flagged for review because the species identity rests on matching the vernacular 'baardman' and the historical binomial 'Sciaena capensis' to Umbrina robinsoni."
1,"Baardman","S0146","R02","Hutchings (2005) - Taxonomy, biology, and management of the genus Umbrina.pdf","Umbrina robinsoni","T","East",0,"ai","Low","adult","observation","non_kelp","not_applicable","not_applicable","not_applicable","De Hoop region (south-east coast, at/east of the eastern kelp limit)","Chapter 4 reproduction study sampling (2001-2002)","no","The only diet statement for U. robinsoni is that the majority of its prey in the region are filter-feeding bivalves and polychaetes (Chapter 4, p.140, PDF 152), i.e. non-kelp benthic invertebrates in the De Hoop (East) area. This supports a level-0 observed_alternative on the trophic route (non-kelp food). The evidence is weak: it is attributed to the author's unpublished data rather than a presented diet analysis, so specificity is Low and evidence_origin is author_summary. No kelp ingestion, kelp assimilation, or kelp-food-web link is examined."
1,"Baardman","S0149","R02","Hutchings and Griffiths (2010) - Life history strategies of Umbrina robinsoni.pdf","Umbrina robinsoni","T","Both",0,"human_confirmed","Low","unspecified","observation","non_kelp","not_applicable","not_applicable","not_applicable","De Hoop warm-temperate region (diet statement) and, by inference, the sampled inshore reef/surf habitats of both MPAs.","2001-2002 study period (diet from authors' unpublished data, timing unspecified).","yes","The source reports no primary trophic measurement (no stomach-content analysis); its methods concern otoliths, gonads, growth and mortality. The only diet information is a discussion statement that the major prey are filter-feeding bivalves and polychaetes, attributed to the authors' unpublished data. These are non-kelp prey with no link to the kelp food web. This qualifies as a level-0 observed_alternative on the trophic route, but is coded with Low specificity and flagged because it derives from unpublished data rather than a validated result of this source."
2,"Black musselcracker","S0007","R20","Attwood et al. (2013) - the Proceedings of the 4th Linefish symposium.pdf","Cymatoceps nasutus","H","Both",0,"ai","Low","both","individual","not_applicable","not_applicable","non-kelp","not_applicable","South of Saldanha Bay (Western Cape) to Cape Vidal (KZN)","1984-2010 tag-recapture; genetics","no","Poenskop is a coastal rocky-reef species with rocky intertidal nursery habitat spanning West and East; kelp is never mentioned, a level-0 habitat observed alternative (non-kelp reef)."
2,"Black musselcracker","S0709","R23","Attwood et al. (2016) - Seasonally and spatially referenced estimates of recreational shore-angling effort, catch composition, catch rates and total catch in the Goukamma Marine Protected Area, South Africa.pdf","Cymatoceps nasutus","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","16.4 km Goukamma MPA coastline, south coast of South Africa (Agulhas marine bioregion), east of the Ecklonia maxima kelp range","January 2009-December 2011 (3-year monthly roving creel survey)","no","Poenskop/black musselcracker (1 fish, at Buffalo Bay) caught in the non-kelp Goukamma MPA. Presence-only observation of an in-scope species in non-kelp reef/shore habitat, level-0 observed_alternative on the habitat route."
2,"Black musselcracker","S0017","R16","Beckley and Buxton (1989) - UNDERWATER OBSERVATIONS OF REEF FISH IN AND AROUND ALGOA BAY, SOUTH AFRICA.pdf","Cymatoceps nasutus","H","East",0,"ai","Medium","both","observation","not_applicable","not_applicable","non-kelp","not_applicable","Algoa Bay, 11 subtidal rocky-reef localities, 0-25 m depth (mean 12 m)","February 1981 to May 1982; 49 dives","no","Poenskop observed infrequently and in low numbers, adults and juveniles, on Algoa Bay non-kelp rocky reef East of the kelp range. Level-0 observed_alternative on the habitat route."
2,"Black musselcracker","S0275","R11","Bennett & Attwood (1993)-Shore-angling catches in the De Hoop Nature Reserve  South Africa  and further evidence for the protective value of marine reserves.pdf","Cymatoceps nasutus","H","East",0,"ai","Medium","unspecified","site","not_applicable","not_applicable","non-kelp","not_applicable","Two shore sites (Koppie Aileen, Lekkerwater), De Hoop coast, southern Cape","May 1984 to July 1992","no","Cymatoceps nasutus (n=1) was caught by shore-angling at De Hoop in a non-kelp aeolianite beach-rock and sand surf zone at the eastern edge of the Ecklonia maxima range. Documented occurrence in non-kelp habitat with no diet or kelp-structure observation gives a level-0 observed_alternative on the habitat route; the trophic route is unassessed."
2,"Black musselcracker","S0666","R33","Brouwer and Buxton (2002) - Catch and effort of the shore and skiboat linefisheries along the South African Eastern Cape coast.pdf","Cymatoceps nasutus","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Eastern Cape coast, Still Bay (21 deg 20 min E) to Kei Mouth (28 deg 23 min E), 982 km","1994-1996","no","Poenskop recorded in the Eastern Cape shore and commercial skiboat catches, east of the kelp limit: level-0 observed_alternative, habitat route."
2,"Black musselcracker","S0481","R19","Bullock et al. (2021) - A decade of surf-zone linefish monitoring in the Dwesa-Cwebe Marine Protected Area.pdf","Cymatoceps nasutus","H","East",0,"ai","High","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Dwesa-Cwebe MPA, 19.5 km predominantly rocky shoreline surf zone, Eastern Cape east coast","January 2009-November 2019; 35 trips, 180 sampling days","no","Black musselcracker (poenskop) was one of the most frequently caught species (n=356) over rocky-reef habitat in the Dwesa-Cwebe MPA on the Eastern Cape east coast, beyond the eastern kelp limit; the authors attribute its distribution to habitat, not kelp. Observed occupying non-kelp East-coast reef habitat with no kelp or diet data: level-0 habitat observed_alternative. Trophic route unassessed."
2,"Black musselcracker","S0041","R06","Burger (1990) - The distribution patterns and community structure of the Tsitsikamma rocky littoral ichthyofauna.pdf","Cymatoceps nasutus","H","East",0,"ai","Medium","unspecified","site","not_applicable","not_applicable","non-kelp","not_applicable","Tsitsikamma National Park and adjacent exploited reefs, south coast of South Africa (~34 S, Agulhas warm-temperate province, east of the eastern kelp limit); intertidal rock-pools and rocky reef 5-30 m","1988-1990","no","East-region record beyond the kelp coast. Cymatoceps nasutus was recorded on non-kelp shallow coralline reef at Tsitsikamma, where no kelp forest occurs. Documented occurrence in a non-kelp habitat: level-0 observed_alternative on the habitat route."
2,"Black musselcracker","S0045","R02","Buxton and Clarke (1989) - The growth of Cymatoceps nasutus with comments on diet and reproduction.pdf","Cymatoceps nasutus","H","East",0,"ai","Medium","both","observation","not_applicable","not_applicable","non-kelp","not_applicable","Eastern Cape coast, main study area Port Elizabeth to Mossel Bay, with sporadic samples from the Kei River mouth and Coffee Bay (Transkei). Diving observations restricted to depths shallower than 50 m; juveniles recorded over reefs at less than 10 m. All localities lie east of the eastern kelp limit near Cape Agulhas and De Hoop.","January 1980 to December 1986 for the main study area, plus Transkei samples 1984-1988. No survey dates, effort, or seasonal structure are given for the diving observations specifically.","no","The source's own habitat evidence is the diving observation on p.62 (E10): 'Although diving was restricted to depths shallower than 50 m, juveniles (Fig. 5) were only seen over reefs in shallow water (< 10 m), indicating that shallow subtidal reefs act as nurseries.' This documents in-scope juveniles occupying shallow subtidal rocky reef, a non-kelp habitat, at the sampled place and time, and the authors restate it in the Discussion (E12). Their own diet analysis independently places the wider sampled size range, 86-954 mm FL, over 'rocky substrata' (E13), which extends the non-kelp habitat observation to adults as well as juveniles and sets life_stage to 'both'. Under the protocol this is a level-0 observed_alternative on the habitat route, coded even though the source never measures or mentions kelp.

Kelp is absent from the entire source: a full-text sweep for kelp, Ecklonia, Laminaria, Macrocystis, seaweed, alga, holdfast, frond, stipe, canopy and forest returns no genuine hit. Every locality lies east of the eastern kelp limit near Cape Agulhas and De Hoop (E15), so no opportunity for a kelp link was defined (detection_opportunity_defined 'no') and this is not a tested absence. The reefs described are rocky reef in a region beyond the kelp range, not kelp forest, so h_usemode is 'non-kelp' and h_config is 'not_applicable'.

Specificity is Medium rather than High. The observation is a clear qualitative statement, but no dive count, transect design, survey effort, or number of juveniles observed is reported (E10, E11), and the supporting rocky-substrata statement is an inference from diet rather than a direct habitat observation (E13). The authors' own hedge, 'appear to be restricted', reflects this.

Higher levels are unreachable. Available habitat is never defined or measured, so Selection (level 3) fails; the only contrast offered is depth within the dived range (<10 m versus deeper), which is not a measured available set and involves no kelp. No kelp-caused endpoint, comparator, or counterfactual exists, so Contribution (level 4) and Dependence (level 5) fail. The nursery claim is an interpretation of where juveniles were seen, not a measured recruitment endpoint with redistribution excluded, so endpoint_class is 'none' and this record cannot be read as local recruitment evidence.

Attribution was checked carefully. The statements that larger fish occur in low densities on reefs as solitary individuals in shallow water (<30 m), and that C. nasutus occurs on rocky reefs from the Cape to Natal, are attributed to Buxton and Smale (1984) and Smith and Heemstra (1986) respectively, so they are recorded as citation leads and not as this source's evidence. The adult depth distribution rests on personal communications and on Natal records outside the study area (E16), and is retained as a limitation. The absence of juveniles from subtidal gullies and intertidal rock pools is attributed to Smale and Buxton (1989) and Bennett (1987) and is likewise recorded as citation leads."
2,"Black musselcracker","S0057","R08","Clarke (1988) - Biological aspects of Sparodon durbanensis and Pachymetopon grande.pdf","Cymatoceps nasutus","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Port Elizabeth rock-angling grounds (inshore rocky reefs), Eastern Cape","August 1985 – August 1986","no","Cymatoceps nasutus (poenskop, n=10) is landed in the study's Port Elizabeth inshore rock-angling catch survey, an Eastern Cape rocky-reef fishery east of the kelp limit. Documented occurrence in non-kelp habitat; kelp never mentioned. Level-0 observed_alternative on the habitat route."
2,"Black musselcracker","S0064","R12","Coetzee and Baird (1981) - Catch composition and catch per unit effort of anglers' catches off St Croix Island.pdf","Cymatoceps nasutus","H","East",0,"ai","Low","unspecified","observation","not_applicable","not_applicable","non-kelp","not_applicable","Single rocky-reef locality: St Croix Island, Algoa Bay (~20 m depth, rocky substrate with intermittent sandy patches)","Monthly angler-catch sampling, December 1975 – February 1978","no","Poenskop, in the St Croix Island angler catch at a non-kelp East-region rocky reef → level-0 observed_alternative on the habitat route."
