"table_order","common_name_published","scientific_name_published","accepted_name","fishery_published","exploitation_status_published","in_species_frame_v7","rfbf_scope_v7","modelled_v7","n_model_records_v7","n_analysis_records_v7","model_status_v7","source_table_note","family","feeding_guild","adult_depth_min_m","adult_depth_max_m","reef_association","mobility","max_length_cm","settlement_habitat","source","notes"
19,"Red steenbras","Petrus rupestris","Petrus rupestris","None (previously recreational)","Overexploited",TRUE,TRUE,TRUE,51,52,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","piscivore",50,160,"obligate_reef","migratory",200,"reef","Mann 2013","offshore reef apex predator; eastward spawning migration"
20,"Red stumpnose","Chrysoblephus gibbiceps","Chrysoblephus gibbiceps","Commercial & recreational","Overexploited",TRUE,TRUE,TRUE,43,43,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",15,150,"facultative_reef","resident",75,"reef","Mann 2013","depth_min from False Bay deep-reef account"
21,"Santer","Cheimerius nufar","Cheimerius nufar","Commercial & recreational","Unknown",TRUE,TRUE,TRUE,70,70,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","piscivore",0,130,"facultative_reef","mobile",75,"reef","Mann 2013","nomadic coded mobile"
22,"Scotsman","Polysteganus praeorbitalis","Polysteganus praeorbitalis","Commercial & recreational","Overexploited",FALSE,,FALSE,0,0,"not_in_rfbf_species_frame","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.",,,,,,,,,,
23,"Snoek","Thyrsites atun","Thyrsites atun","Commercial & recreational","Optimally/fully exploited",TRUE,TRUE,FALSE,0,0,"no_model_ready_records","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Gempylidae","generalist_carnivore",0,550,"pelagic","mobile",125,"pelagic","Mann 2013","mesopelagic; broad diet; nomadic coded mobile"
24,"Soupfin shark","Galeorhinus galeus","Galeorhinus galeus","Commercial","Fully/overexploited",TRUE,TRUE,TRUE,39,40,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Triakidae","piscivore",2,470,"soft_sediment","migratory",190,"surf_zone","Mann 2013","benthic shelf species; hint reef discrepant; pups in bays"
25,"Pyjama shark","Poroderma africanum","Poroderma africanum","Recreational","IUCN near threatened",TRUE,TRUE,TRUE,80,80,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Scyliorhinidae","generalist_carnivore",0,100,"obligate_reef","resident",100,"reef","Mann 2013","rocky reef benthic; kelp only for egg attachment"
26,"White musselcracker","Sparodon durbanensis","Sparodon durbanensis","Recreational","IUCN vulnerable",TRUE,TRUE,TRUE,53,53,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",0,20,"obligate_reef","migratory",102.9,"reef","Mann 2013","high-profile inshore reef; size 102.9cm FL"
27,"White stumpnose","Rhabdosargus globiceps","Rhabdosargus globiceps","Commercial & recreational","IUCN vulnerable",TRUE,TRUE,TRUE,91,92,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",0,120,"facultative_reef","migratory",47,"estuary","Mann 2013","reef+unconsolidated sediment; size FL; seagrass nursery also"
28,"Yellow-belly rockcod","Epinephelus marginatus","Epinephelus marginatus","Commercial & recreational","Unknown/IUCN endangered",TRUE,TRUE,TRUE,58,58,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Serranidae","generalist_carnivore",0,200,"obligate_reef","resident",112.5,"reef","Mann 2013","ontogenetic shift to deeper reef; 112.5cm TL in SA"
29,"Yellowtail","Seriola lalandi","Seriola lalandi","Commercial & recreational","Sustainable",TRUE,TRUE,FALSE,0,0,"no_model_ready_records","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Carangidae","piscivore",0,40,"facultative_reef","mobile",143,"pelagic","Mann 2013","epipelagic but reef-aggregating; baitfish diet; nomadic coded mobile"
30,"Zebra fish","Diplodus cervinus hottentotus","Diplodus hottentotus","Recreational","Unknown",TRUE,TRUE,TRUE,94,94,"modelled","Table 2 pools kelp forest and temperate reef ecosystems; listing alone is not species-specific evidence of a kelp relationship.","Sparidae","benthic_invertivore",0,60,"obligate_reef","resident",60,"reef","Mann 2013","polychaete/amphipod specialist; D. cervinus hottentotus"
